symbol,market,concentration_pct,top20_concentration_pct,holder_hhi,largest_holder_pct,ranked_holder_count,concentration_gap_pct,has_data_anomaly,ownership_structure,evidence_count,data_confidence,issuer_key,listing_type,is_primary_listing
1094.HK,hk,48.6895,48.6895,0.15973795785399997,38.6982,4,0.0,False,dominant_holder,4,high,hk:1094.HK,unknown,
1097.HK,hk,58.0496,58.0496,0.19464907786799995,43.2219,8,0.0,False,dominant_holder,4,high,hk:1097.HK,unknown,
1098.HK,hk,75.2291,75.2291,0.27578047921900006,44.9209,9,0.0,False,dominant_holder,4,high,hk:1098.HK,unknown,
1099.HK,hk,76.1944,59.5262,0.039148078158000005,13.13,20,16.6682,False,broad_institutional,4,high,hk:1099.HK,unknown,
1100.HK,hk,73.6698,73.6698,0.248484361262,44.9443,6,0.0,False,dominant_holder,4,high,hk:1100.HK,unknown,
1101.HK,hk,0.0,0.0,0.0,0.0,1,0.0,False,fragmented_or_mixed,4,high,hk:1101.HK,unknown,
1102.HK,hk,71.8233,71.8233,0.495700407125,70.3982,5,0.0,False,dominant_holder,4,high,hk:1102.HK,unknown,
1104.HK,hk,70.0936,70.0936,0.24900577030400003,47.4643,10,0.0,False,dominant_holder,4,high,hk:1104.HK,unknown,
1105.HK,hk,43.1136,43.1136,0.051899017776,14.1958,4,0.0,False,fragmented_or_mixed,4,high,hk:1105.HK,unknown,
1107.HK,hk,73.3662,73.3662,0.4320986288260001,65.3773,8,0.0,False,dominant_holder,4,high,hk:1107.HK,unknown,
1108.HK,hk,3.684,3.684,0.000517771968,2.0,15,0.0,False,fragmented_or_mixed,4,high,hk:1108.HK,unknown,
1109.HK,hk,78.6141,71.0606,0.35562442383000015,59.552,20,7.5535,False,dominant_holder,4,high,hk:1109.HK,unknown,
1110.HK,hk,66.8801,66.8801,0.2895828605469999,51.8124,6,0.0,False,dominant_holder,4,high,hk:1110.HK,unknown,
1111.HK,hk,75.8256,75.8256,0.42047062964,64.4046,4,0.0,False,dominant_holder,4,high,hk:1111.HK,unknown,
1112.HK,hk,79.9167,78.9593,0.4508664277829999,66.9185,20,0.9574000000000069,False,dominant_holder,4,high,hk:1112.HK,unknown,
1113.HK,hk,69.8843000000001,61.9868,0.111218454838,30.9967,20,7.897500000000093,False,dominant_holder,4,high,hk:1113.HK,unknown,
1114.HK,hk,61.838,60.336,0.10860386213,29.986,20,1.5020000000000024,False,dominant_holder,4,high,hk:1114.HK,unknown,
1115.HK,hk,29.5738,29.5738,0.021927452325999994,8.2157,9,0.0,False,fragmented_or_mixed,4,high,hk:1115.HK,unknown,
1116.HK,hk,71.4198,71.4198,0.12100321951399999,24.0352,7,0.0,False,dominant_holder,4,high,hk:1116.HK,unknown,
1117.HK,hk,74.89,74.0292,0.25431117103199996,49.3886,20,0.8607999999999976,False,dominant_holder,4,high,hk:1117.HK,unknown,
1118.HK,hk,63.6508,63.6508,0.405138615034,63.6505,2,0.0,False,dominant_holder,4,high,hk:1118.HK,unknown,
1119.HK,hk,40.8947,40.8947,0.042059827363,13.1308,20,0.0,False,fragmented_or_mixed,4,high,hk:1119.HK,unknown,
1120.HK,hk,73.6488,73.6488,0.198472750502,39.7656,6,0.0,False,dominant_holder,4,high,hk:1120.HK,unknown,
1121.HK,hk,47.3901,47.3901,0.04813659157499999,13.0495,19,0.0,False,fragmented_or_mixed,4,high,hk:1121.HK,unknown,
1122.HK,hk,41.8918,41.8918,0.160800850412,40.0802,8,0.0,False,dominant_holder,4,high,hk:1122.HK,unknown,
1123.HK,hk,65.9972,65.9972,0.266956604968,50.6222,5,0.0,False,dominant_holder,4,high,hk:1123.HK,unknown,
1124.HK,hk,52.2457,52.2457,0.15957768468700004,36.9333,4,0.0,False,dominant_holder,4,high,hk:1124.HK,unknown,
1125.HK,hk,92.0901,92.0901,0.356902174965,55.0755,4,0.0,False,dominant_holder,4,high,hk:1125.HK,unknown,
1126.HK,hk,76.1851,76.171,0.34361591714600004,57.502,20,0.014099999999999113,False,dominant_holder,4,high,hk:1126.HK,unknown,
1127.HK,hk,71.1106,71.1106,0.14711930095199993,33.5241,15,0.0,False,dominant_holder,4,high,hk:1127.HK,unknown,
1128.HK,hk,80.4105,79.5808,0.5081725252499998,71.2204,20,0.8297000000000025,False,dominant_holder,4,high,hk:1128.HK,unknown,
1129.HK,hk,22.4101,22.4101,0.05014243660099999,22.3925,4,0.0,False,dominant_holder,4,high,hk:1129.HK,unknown,
1130.HK,hk,33.6259,33.6259,0.04565472478500001,18.1654,5,0.0,False,fragmented_or_mixed,4,high,hk:1130.HK,unknown,
1132.HK,hk,73.0467,73.0467,0.3030355601710001,51.1796,7,0.0,False,dominant_holder,4,high,hk:1132.HK,unknown,
1133.HK,hk,31.5144,22.2366,0.0033226274280000003,3.3203,20,9.2778,False,fragmented_or_mixed,4,high,hk:1133.HK,unknown,
1134.HK,hk,60.5232,60.5232,0.1361528128,29.5904,5,0.0,False,dominant_holder,4,high,hk:1134.HK,unknown,
1137.HK,hk,55.9279,55.9279,0.203919530655,44.8595,20,0.0,False,dominant_holder,4,high,hk:1137.HK,unknown,
1138.HK,hk,44.5325,38.379,0.014105805219999998,7.0935,20,6.153500000000001,False,fragmented_or_mixed,4,high,hk:1138.HK,unknown,
1140.HK,hk,54.8356,54.8356,0.08223070416199998,24.2291,10,0.0,False,dominant_holder,4,high,hk:1140.HK,unknown,
1141.HK,hk,69.4968,69.4968,0.48074210650399996,69.3355,5,0.0,False,dominant_holder,4,high,hk:1141.HK,unknown,
1142.HK,hk,63.9239,63.9239,0.123081660611,29.334,12,0.0,False,dominant_holder,4,high,hk:1142.HK,unknown,
1143.HK,hk,62.0609,62.0609,0.132667501889,23.6302,4,0.0,False,dominant_holder,4,high,hk:1143.HK,unknown,
1145.HK,hk,51.8144,51.8144,0.26847320473599995,51.8144,2,0.0,False,dominant_holder,4,high,hk:1145.HK,unknown,
1146.HK,hk,44.716,44.716,0.08282501161799997,24.3727,9,0.0,False,dominant_holder,4,high,hk:1146.HK,unknown,
1147.HK,hk,66.7499,66.7499,0.248630336161,44.7444,2,0.0,False,dominant_holder,4,high,hk:1147.HK,unknown,
1148.HK,hk,65.2769,65.2769,0.19534766941099999,31.1961,5,0.0,False,dominant_holder,4,high,hk:1148.HK,unknown,
1150.HK,hk,0.4182,0.4182,8.744562e-06,0.2091,2,0.0,False,fragmented_or_mixed,4,high,hk:1150.HK,unknown,
1152.HK,hk,49.3404,49.3404,0.046355689912,14.3331,13,0.0,False,fragmented_or_mixed,4,high,hk:1152.HK,unknown,
1153.HK,hk,71.7465,71.7465,0.45074973349700004,66.9676,4,0.0,False,dominant_holder,4,high,hk:1153.HK,unknown,
1156.HK,hk,36.7832,36.7832,0.033602154248000005,14.4243,6,0.0,False,fragmented_or_mixed,4,high,hk:1156.HK,unknown,
1157.HK,hk,38.7793,33.781,0.019358799508,12.4803,20,4.9983,False,fragmented_or_mixed,4,high,hk:1157.HK,unknown,
1159.HK,hk,13.8128,13.8128,0.016465369696000005,12.7956,4,0.0,False,fragmented_or_mixed,4,high,hk:1159.HK,unknown,
1160.HK,hk,58.6603,58.6603,0.112517020109,28.7136,5,0.0,False,dominant_holder,4,high,hk:1160.HK,unknown,
1161.HK,hk,70.5725,70.5725,0.126664268681,24.4087,11,0.0,False,dominant_holder,4,high,hk:1161.HK,unknown,
1162.HK,hk,66.4167,66.4167,0.44111780388900007,66.4167,1,0.0,False,dominant_holder,4,high,hk:1162.HK,unknown,
1163.HK,hk,59.3624,59.3624,0.14611525013399998,27.2339,4,0.0,False,dominant_holder,4,high,hk:1163.HK,unknown,
1164.HK,hk,78.0667000000001,76.3265,0.322360690723,56.2936,20,1.740200000000101,False,dominant_holder,4,high,hk:1164.HK,unknown,
1165.HK,hk,31.4227,31.4227,0.06944579253699999,25.909,4,0.0,False,dominant_holder,4,high,hk:1165.HK,unknown,
1166.HK,hk,11.2341,11.2341,0.005015694968999999,4.9836,5,0.0,False,fragmented_or_mixed,4,high,hk:1166.HK,unknown,
1167.HK,hk,46.1751,45.9775,0.026226145250999998,10.1558,20,0.19760000000000133,False,fragmented_or_mixed,4,high,hk:1167.HK,unknown,
1168.HK,hk,64.8823,64.8823,0.41549737338099996,64.4584,7,0.0,False,dominant_holder,4,high,hk:1168.HK,unknown,
1170.HK,hk,68.0786,68.0786,0.16906125998600002,39.3027,15,0.0,False,dominant_holder,4,high,hk:1170.HK,unknown,
1171.HK,hk,39.8563,36.935,0.05163267082599999,22.298,20,2.921299999999995,False,dominant_holder,4,high,hk:1171.HK,unknown,
1172.HK,hk,60.9727,60.9727,0.18712039184899998,32.9732,2,0.0,False,dominant_holder,4,high,hk:1172.HK,unknown,
1173.HK,hk,73.5299,73.5299,0.32336006038500004,55.3355,3,0.0,False,dominant_holder,4,high,hk:1173.HK,unknown,
1176.HK,hk,66.5118,66.5118,0.3207394932100001,56.246,11,0.0,False,dominant_holder,4,high,hk:1176.HK,unknown,
1177.HK,hk,72.4158,63.4844,0.082923132364,21.7043,20,8.931400000000004,False,dominant_holder,4,high,hk:1177.HK,unknown,
1179.HK,hk,69.4139,65.9048,0.080510792116,22.5561,20,3.5091000000000037,False,dominant_holder,4,high,hk:1179.HK,unknown,
1180.HK,hk,76.4325,76.4325,0.44220268778300004,66.1611,10,0.0,False,dominant_holder,4,high,hk:1180.HK,unknown,
1181.HK,hk,73.2868,73.2868,0.17945465843399996,33.9631,11,0.0,False,dominant_holder,4,high,hk:1181.HK,unknown,
1182.HK,hk,75.3136,75.3136,0.541526901448,73.5678,2,0.0,False,dominant_holder,4,high,hk:1182.HK,unknown,
1183.HK,hk,65.0433,65.0433,0.281593616549,51.2672,6,0.0,False,dominant_holder,4,high,hk:1183.HK,unknown,
1184.HK,hk,75.5043,75.5043,0.33880104718700005,54.7278,11,0.0,False,dominant_holder,4,high,hk:1184.HK,unknown,
1186.HK,hk,8.7609,8.6633,0.000816623629,1.5465,20,0.09759999999999991,False,fragmented_or_mixed,4,high,hk:1186.HK,unknown,
1187.HK,hk,30.9565,30.9565,0.012683742243,7.3737,11,0.0,False,fragmented_or_mixed,4,high,hk:1187.HK,unknown,
1188.HK,hk,13.1336,13.1336,0.017450787009000004,13.1336,4,0.0,False,fragmented_or_mixed,4,high,hk:1188.HK,unknown,
1191.HK,hk,89.1706,79.7879,0.040946277927,9.2318,20,9.3827,False,broad_institutional,4,high,hk:1191.HK,unknown,
1193.HK,hk,73.2147000000001,71.1576,0.379025259018,61.4646,20,2.0571000000000907,False,dominant_holder,4,high,hk:1193.HK,unknown,
1195.HK,hk,28.9669,28.9669,0.08390812956100001,28.9669,1,0.0,False,dominant_holder,4,high,hk:1195.HK,unknown,
1196.HK,hk,64.5716,64.5426,0.39225122546599994,62.619,20,0.029000000000010573,False,dominant_holder,4,high,hk:1196.HK,unknown,
1198.HK,hk,74.9795,74.9795,0.300590387577,47.521,3,0.0,False,dominant_holder,4,high,hk:1198.HK,unknown,
1199.HK,hk,80.8201,79.6726,0.5084084023019999,71.2529,20,1.1474999999999937,False,dominant_holder,4,high,hk:1199.HK,unknown,
1200.HK,hk,57.0574,57.0467,0.14571782385899998,37.0383,20,0.010699999999999932,False,dominant_holder,4,high,hk:1200.HK,unknown,
1201.HK,hk,85.8247,85.8247,0.335575200559,57.0165,10,0.0,False,dominant_holder,4,high,hk:1201.HK,unknown,
1202.HK,hk,0.4113,0.4113,1.6916769000000002e-05,0.4113,1,0.0,False,fragmented_or_mixed,4,high,hk:1202.HK,unknown,
1203.HK,hk,59.2055,59.2055,0.35033852193700005,59.1894,3,0.0,False,dominant_holder,4,high,hk:1203.HK,unknown,
1204.HK,hk,77.5516,77.5516,0.40833239236000013,63.0234,3,0.0,False,dominant_holder,4,high,hk:1204.HK,unknown,
1205.HK,hk,81.2946,81.2946,0.374248526518,59.5033,20,0.0,False,dominant_holder,4,high,hk:1205.HK,unknown,
1206.HK,hk,37.7219,37.7219,0.13412515668499997,36.6061,2,0.0,False,dominant_holder,4,high,hk:1206.HK,unknown,
1208.HK,hk,80.6703,76.6907,0.4077389517769999,63.7223,20,3.9795999999999907,False,dominant_holder,4,high,hk:1208.HK,unknown,
1209.HK,hk,86.0394000000001,81.7184,0.49302542013200007,70.1205,20,4.321000000000097,False,dominant_holder,4,high,hk:1209.HK,unknown,
1211.HK,hk,42.9230000000001,27.0675,0.005420994053,3.578,20,15.855500000000102,False,fragmented_or_mixed,4,high,hk:1211.HK,unknown,
1213.HK,hk,73.495,73.495,0.2432115025,45.0,3,0.0,False,dominant_holder,4,high,hk:1213.HK,unknown,
1215.HK,hk,48.5593,48.5593,0.05410201479699999,15.6482,8,0.0,False,fragmented_or_mixed,4,high,hk:1215.HK,unknown,
1216.HK,hk,27.9415,27.9415,0.029814795625000005,14.3964,6,0.0,False,fragmented_or_mixed,4,high,hk:1216.HK,unknown,
1217.HK,hk,29.8229,29.8229,0.08894053644100001,29.8229,1,0.0,False,dominant_holder,4,high,hk:1217.HK,unknown,
1218.HK,hk,52.8585,52.8585,0.17354604607699997,39.4379,2,0.0,False,dominant_holder,4,high,hk:1218.HK,unknown,
1220.HK,hk,4.8077,4.8077,0.0023113979289999995,4.8077,1,0.0,False,fragmented_or_mixed,4,high,hk:1220.HK,unknown,
1221.HK,hk,47.1705,47.1705,0.22122010217100002,47.0339,3,0.0,False,dominant_holder,4,high,hk:1221.HK,unknown,
1222.HK,hk,43.0332,43.0332,0.12952369849,35.223,6,0.0,False,dominant_holder,4,high,hk:1222.HK,unknown,
1223.HK,hk,71.7735,71.7735,0.221899803227,44.2505,11,0.0,False,dominant_holder,4,high,hk:1223.HK,unknown,
1224.HK,hk,74.9217,74.9217,0.547035612335,73.9563,5,0.0,False,dominant_holder,4,high,hk:1224.HK,unknown,
1225.HK,hk,7.9114,7.9114,0.006107890374,7.8151,4,0.0,False,fragmented_or_mixed,4,high,hk:1225.HK,unknown,
1226.HK,hk,0.0,0.0,0.0,0.0,1,0.0,False,fragmented_or_mixed,4,high,hk:1226.HK,unknown,
1228.HK,hk,49.3735,49.3735,0.065350268219,17.0713,8,0.0,False,fragmented_or_mixed,4,high,hk:1228.HK,unknown,
1229.HK,hk,74.4233,74.4233,0.5538827582889999,74.4233,1,0.0,False,dominant_holder,4,high,hk:1229.HK,unknown,
1231.HK,hk,71.7079,71.7079,0.18207323154500002,28.7436,3,0.0,False,dominant_holder,4,high,hk:1231.HK,unknown,
1232.HK,hk,49.6054,49.6054,0.11878185341399998,33.6489,7,0.0,False,dominant_holder,4,high,hk:1232.HK,unknown,
1233.HK,hk,50.8948,50.8904,0.174491707266,41.6018,20,0.004399999999996851,False,dominant_holder,4,high,hk:1233.HK,unknown,
1234.HK,hk,75.2805,75.1952,0.355263690596,59.1511,20,0.0853000000000037,False,dominant_holder,4,high,hk:1234.HK,unknown,
1235.HK,hk,78.2147,78.2147,0.49152062183100004,69.9635,5,0.0,False,dominant_holder,4,high,hk:1235.HK,unknown,
1236.HK,hk,92.3035,92.3035,0.090231659391,18.4913,20,0.0,False,broad_institutional,4,high,hk:1236.HK,unknown,
1237.HK,hk,52.7657,52.7657,0.079759870827,21.2965,7,0.0,False,dominant_holder,4,high,hk:1237.HK,unknown,
1238.HK,hk,71.6046,71.6046,0.22420097237999997,44.1472,20,0.0,False,dominant_holder,4,high,hk:1238.HK,unknown,
1239.HK,hk,57.7738,57.7738,0.04832560670799999,9.3422,7,0.0,False,broad_institutional,4,high,hk:1239.HK,unknown,
1240.HK,hk,84.4485,84.4485,0.312996624319,52.7303,7,0.0,False,dominant_holder,4,high,hk:1240.HK,unknown,
1241.HK,hk,71.0853,71.0853,0.231678321125,43.5,3,0.0,False,dominant_holder,4,high,hk:1241.HK,unknown,
1243.HK,hk,75.0,75.0,0.5625,75.0,1,0.0,False,dominant_holder,4,high,hk:1243.HK,unknown,
1244.HK,hk,43.2008,43.2008,0.038781593143999996,14.0455,20,0.0,False,fragmented_or_mixed,4,high,hk:1244.HK,unknown,
1245.HK,hk,52.958,52.958,0.07148855471000001,18.9004,8,0.0,False,broad_institutional,4,high,hk:1245.HK,unknown,
1246.HK,hk,54.7305,54.7305,0.06210346296500001,19.1458,8,0.0,False,broad_institutional,4,high,hk:1246.HK,unknown,
1247.HK,hk,22.4805,22.4805,0.021745344760999995,11.2976,3,0.0,False,fragmented_or_mixed,4,high,hk:1247.HK,unknown,
1250.HK,hk,75.0166,75.0166,0.3570654178960001,56.9699,13,0.0,False,dominant_holder,4,high,hk:1250.HK,unknown,
1251.HK,hk,43.0743,43.0743,0.060425170075000006,20.1885,9,0.0,False,dominant_holder,4,high,hk:1251.HK,unknown,
1252.HK,hk,57.5838,57.5838,0.2741705513,52.0702,6,0.0,False,dominant_holder,4,high,hk:1252.HK,unknown,
1253.HK,hk,62.8485,62.8485,0.248117677797,49.168,6,0.0,False,dominant_holder,4,high,hk:1253.HK,unknown,
1255.HK,hk,67.8794,67.8794,0.38523233726799994,61.7652,2,0.0,False,dominant_holder,4,high,hk:1255.HK,unknown,
1257.HK,hk,80.7226,80.7226,0.5108800540239998,70.8063,12,0.0,False,dominant_holder,4,high,hk:1257.HK,unknown,
1258.HK,hk,77.2837,75.012,0.44462531572400005,66.6319,20,2.2716999999999956,False,dominant_holder,4,high,hk:1258.HK,unknown,
1259.HK,hk,5.7412,5.7412,0.0024916056099999993,4.9243,2,0.0,False,fragmented_or_mixed,4,high,hk:1259.HK,unknown,
1260.HK,hk,70.8335,70.8335,0.4275041127250001,65.135,2,0.0,False,dominant_holder,4,high,hk:1260.HK,unknown,
1262.HK,hk,75.0,75.0,0.22810981613599995,35.1414,3,0.0,False,dominant_holder,4,high,hk:1262.HK,unknown,
1263.HK,hk,53.6676,53.6594,0.04784104582399999,14.2841,20,0.008200000000002206,False,broad_institutional,4,high,hk:1263.HK,unknown,
1265.HK,hk,8.8989,8.8989,0.007919042121,8.8989,1,0.0,False,fragmented_or_mixed,4,high,hk:1265.HK,unknown,
1268.HK,hk,73.609,73.3803,0.28073361587100004,52.2873,20,0.22869999999998925,False,dominant_holder,4,high,hk:1268.HK,unknown,
1269.HK,hk,16.1072,16.1072,0.013059423439999999,8.8618,5,0.0,False,fragmented_or_mixed,4,high,hk:1269.HK,unknown,
1270.HK,hk,74.5647,74.5647,0.4842783842409999,69.4607,20,0.0,False,dominant_holder,4,high,hk:1270.HK,unknown,
1271.HK,hk,72.4903,72.4903,0.42672973958700006,64.8943,4,0.0,False,dominant_holder,4,high,hk:1271.HK,unknown,
1272.HK,hk,93.4415,93.4415,0.105858298921,19.3081,10,0.0,False,dominant_holder,4,high,hk:1272.HK,unknown,
